StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed consent,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,distractor_10,distractor_11,distractor_12,distractor_13,distractor_14,distractor_15,recall9,recall10,recall11,recall12,recall13,recall14,recall15,recall16,recall1,recall2,recall3,recall4,recall5,recall6,recall7,recall8,disgust_1,disgust_2,disgust_3,disgust_4,disgust_5,disgust_6,disgust_7,gender,race,age,SC0,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available here.

 

Do you wish to participate in this study?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Now we ask you to do the following: Write the names of 15 animal species. - Animal 1,Now we ask you to do the following: Write the names of 15 animal species. - Animal 2,Now we ask you to do the following: Write the names of 15 animal species. - Animal 3,Now we ask you to do the following: Write the names of 15 animal species. - Animal 4,Now we ask you to do the following: Write the names of 15 animal species. - Animal 5,Now we ask you to do the following: Write the names of 15 animal species. - Animal 6,Now we ask you to do the following: Write the names of 15 animal species. - Animal 7,Now we ask you to do the following: Write the names of 15 animal species. - Animal 8,Now we ask you to do the following: Write the names of 15 animal species. - Animal 9,Now we ask you to do the following: Write the names of 15 animal species. - Animal 10,Now we ask you to do the following: Write the names of 15 animal species. - Animal 11,Now we ask you to do the following: Write the names of 15 animal species. - Animal 12,Now we ask you to do the following: Write the names of 15 animal species. - Animal 13,Now we ask you to do the following: Write the names of 15 animal species. - Animal 14,Now we ask you to do the following: Write the names of 15 animal species. - Animal 15,"Who said: ""Then she said “Hey, it’s good to meet you! I heard you’d be here and we were looking forward to meeting up with you.” They had just finished up a long stay there. As I remember, they were keeping pretty busy while they were there.""?","Who said: ""I realized it a few months ago. The Smiths were having a lot of trouble with their car. They brought groceries, some chairs and tables, and helped with our stuff. The last few weeks, though, they had to spend some of their time other places. They were staying somewhere pretty far away. Somewhere I think that’s recently been hit with a ton of snow.""?","Who said: ""They started showing up a few months ago. There was a lot of commotion then. But they’ve totally stopping showing up now. They got carried away with the whole thing. We figured it wouldn’t last. Some of us were happy they left, but a couple people seemed really upset.""?","Who said: ""Well, I saw what was left over from it. It was crazy. They had to move thousands of pounds of rubble and debris before doing anything. I was young but I remember that it sucked. It really doesn’t help to have your neighborhood trashed when you just moved.""?","Who said: ""I know the kitchens had to be replaced, too. Cracked walls, sagging roof, everything. They had to do some massive wall-to-wall renovation. They tried to hire every able-bodied person in the area qualified enough to work there, even some people who they ended up firing. Everyone was really friendly, though. It’s cool to see it now it’s up and running smoothly. It’s a rocking place.""?","Who said: ""When they lost the medication, he was pretty upset. Said something about checking priorities and keeping track of things a lot more carefully. They wanted to redo the entire system, so that kind of thing wouldn’t happen again. They bought some new computers for inventory tracking. He hasn’t had any problems since. They seemed to care and actually wanted to fix problems. Things do seem to be better now. You can imagine, he’s totally relieved.""?","Who said: ""I don’t know how you pick what you’re going to do. You know plans don’t always fit with what happens. But, more or less, it’s all worked out, even on their own. Been pretty fortunate. There’ve been ups and downs, but it seems to me to have worked out just fine so far.""?","Who said: ""She had mentioned something about scouts and the cavalry. Pretty strange stuff. Usually the police and government agencies in the area have a pretty good idea about that kind of thing. But in the course of being out there you sometimes come across places completely off anyone’s map. It’s kind of creepy sometimes. These are the kinds of places where people are literally starving, especially older people. Totally crazy to think about, isn’t it?""?","Who said: ""Then she said “Hey, it’s good to meet you! I heard you’d be here and we were looking forward to meeting up with you.” They had just finished up a long stay there. As I remember, they were keeping pretty busy while they were there.""?","Who said: ""I realized it a few months ago. The Smiths were having a lot of trouble with their car. They brought groceries, some chairs and tables, and helped with our stuff. The last few weeks, though, they had to spend some of their time other places. They were staying somewhere pretty far away. Somewhere I think that’s recently been hit with a ton of snow.""?","Who said: ""They started showing up a few months ago. There was a lot of commotion then. But they’ve totally stopping showing up now. They got carried away with the whole thing. We figured it wouldn’t last. Some of us were happy they left, but a couple people seemed really upset.""?","Who said: ""Well, I saw what was left over from it. It was crazy. They had to move thousands of pounds of rubble and debris before doing anything. I was young but I remember that it sucked. It really doesn’t help to have your neighborhood trashed when you just moved.""?","Who said: ""I know the kitchens had to be replaced, too. Cracked walls, sagging roof, everything. They had to do some massive wall-to-wall renovation. They tried to hire every able-bodied person in the area qualified enough to work there, even some people who they ended up firing. Everyone was really friendly, though. It’s cool to see it now it’s up and running smoothly. It’s a rocking place.""?","Who said: ""When they lost the medication, he was pretty upset. Said something about checking priorities and keeping track of things a lot more carefully. They wanted to redo the entire system, so that kind of thing wouldn’t happen again. They bought some new computers for inventory tracking. He hasn’t had any problems since. They seemed to care and actually wanted to fix problems. Things do seem to be better now. You can imagine, he’s totally relieved.""?","Who said: ""I don’t know how you pick what you’re going to do. You know plans don’t always fit with what happens. But, more or less, it’s all worked out, even on their own. Been pretty fortunate. There’ve been ups and downs, but it seems to me to have worked out just fine so far.""?","Who said: ""She had mentioned something about scouts and the cavalry. Pretty strange stuff. Usually the police and government agencies in the area have a pretty good idea about that kind of thing. But in the course of being out there you sometimes come across places completely off anyone’s map. It’s kind of creepy sometimes. These are the kinds of places where people are literally starving, especially older people. Totally crazy to think about, isn’t it?""","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Stepping on dog poop","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Sitting next to someone who has red sores on their arm","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Shaking hands with a stranger who has sweaty palms","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Seeing some mold on old leftovers in your refrigerator","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Standing close to a person who has body odor","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Seeing a cockroach run across the floor","The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting. - Accidentally touching a person’s bloody cut",What is your gender?,What is your race?,What is your age?,Score,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID67_FIRST_CLICK""}","{""ImportId"":""QID67_LAST_CLICK""}","{""ImportId"":""QID67_PAGE_SUBMIT""}","{""ImportId"":""QID67_CLICK_COUNT""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID76_FIRST_CLICK""}","{""ImportId"":""QID76_LAST_CLICK""}","{""ImportId"":""QID76_PAGE_SUBMIT""}","{""ImportId"":""QID76_CLICK_COUNT""}","{""ImportId"":""QID77_FIRST_CLICK""}","{""ImportId"":""QID77_LAST_CLICK""}","{""ImportId"":""QID77_PAGE_SUBMIT""}","{""ImportId"":""QID77_CLICK_COUNT""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID79_FIRST_CLICK""}","{""ImportId"":""QID79_LAST_CLICK""}","{""ImportId"":""QID79_PAGE_SUBMIT""}","{""ImportId"":""QID79_CLICK_COUNT""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID41_7""}","{""ImportId"":""QID41_8""}","{""ImportId"":""QID41_9""}","{""ImportId"":""QID41_10""}","{""ImportId"":""QID41_11""}","{""ImportId"":""QID41_12""}","{""ImportId"":""QID41_13""}","{""ImportId"":""QID41_14""}","{""ImportId"":""QID41_15""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID42""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""SC_3W4zlsPFQV5ftBj""}","{""ImportId"":""Condition""}"
2018-12-03 17:30:47,2018-12-03 17:34:49,IP Address,100,241,True,2018-12-03 17:34:50,R_3pkWgkHXkcLbn3C,anonymous,EN,Yes,0.509,0.509,15.127,1,0,0,8.143,0,0.348,0.348,9.783,1,0.56,0.56,8.983,1,0,0,13.307,0,0,0,12.81,0,0,0,6.302,0,0,0,6.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,dog,rabbit,squirrel,elephant,tiger,lion,sheep,goat,horse,monkey,orangutan,babboon,meerkat,gerbil,,,,,,,,,White1True,EastAsian2,White3,EastAsian4,White4,EastAsian3,White3,White2,3,4,1,1,3,2,6 Extremely disgusting,Female,White,35,1,1
2018-12-03 17:30:35,2018-12-03 17:36:13,IP Address,100,338,True,2018-12-03 17:36:13,R_2dgRs1Gp17OHzhD,anonymous,EN,Yes,0,0,20.006,0,0,0,20.107,0,0,0,20.009,0,0,0,20.007,0,0,0,20.009,0,0,0,20.009,0,0,0,20.007,0,0,0,20.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dog,Cat,Tiger,Panda,Lion,Bobcat,Racoon,Rat,Mouse,Bear,Boar,Wolf,Salmon,Dolphin,Ocelot,,,,,,,,,White1True,EastAsian3,EastAsian3,EastAsian2True,White3True,White4True,White2,EastAsian1,6 Extremely disgusting,5,2,1,2,5,6 Extremely disgusting,Female,White,29,4,1
2018-12-03 17:30:22,2018-12-03 17:36:26,IP Address,100,363,True,2018-12-03 17:36:26,R_tPOUTm5U51deG0V,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.153,16.72,20.008,2,0,0,20.106,0,0,0,20.013,0,0,0,20.107,0,0,0,20.011,0,0,0,20.008,0,0,0,20.109,0,0,0,20.011,0,leopard,jaguar,spider,dog,cat,mouse,elephant,bird,penguin,horse,sheep,monkey,alligator,fish,hamster,EastAsian1,EastAsian1True,WhiteInfect2True,EastAsian2True,WhiteInfect4,EastAsian2,EastAsian2,WhiteInfect3,,,,,,,,,3,3,3,3,4,3,5,Female,Hispanic or Latino,27,3,2
2018-12-03 17:30:47,2018-12-03 17:36:45,IP Address,100,357,True,2018-12-03 17:36:45,R_1rfFjVc1MVskOJp,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,18.664,21.584,9,2.696,18.598,21.231,9,3.876,18.937,20.043,7,0,0,21.816,0,14.818,16.398,20.098,2,3.337,16.73,20.342,3,3.109,15.421,20.504,7,0,0,21.901,0,dog,pig,camel,lion,tiger,buffelo,cat,snake,cow,duck,swan,fish,peacock,rabit,squril,EastAsian2,EastAsian2,EastAsian2,EastAsian2True,EastAsian2,EastAsian2,EastAsian2,EastAsian2,,,,,,,,,6 Extremely disgusting,6 Extremely disgusting,6 Extremely disgusting,6 Extremely disgusting,6 Extremely disgusting,6 Extremely disgusting,6 Extremely disgusting,Male,Asian,28,1,2
2018-12-03 17:31:31,2018-12-03 17:36:48,IP Address,100,316,True,2018-12-03 17:36:48,R_pt95VMkh81KmCKl,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21.77,0,0,0,20.422,0,0,0,21.696,0,0,0,21.193,0,0,0,20.045,0,0,0,21.778,0,0,0,21.149,0,0,0,21.058,0,dog,cat,mouse,RAT,elephant,giraffe,fox,coyote,horse,wolf,lion,zebra,rhino,hippo,whale,WhiteInfect3,EastAsian2,WhiteInfect3,WhiteInfect1,WhiteInfect3True,WhiteInfect4True,EastAsian1,EastAsian3,,,,,,,,,2,1,2,1,1,1,2,Male,White,23,2,2
2018-12-03 17:30:57,2018-12-03 17:36:48,IP Address,100,350,True,2018-12-03 17:36:49,R_bJJXHWobgJB9B7P,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20.108,0,0,0,20.007,0,0,0,20.109,0,0,0,20.007,0,0,0,20.007,0,0,0,20.007,0,0,0,20.108,0,0,0,20.007,0,cow,duck,cat,pig,dog,kangaroo,goat,deer,rabbit,ferret,panther,cougar,hippo,mountain lion,tiger,WhiteInfect1True,EastAsian1True,WhiteInfect2True,EastAsian2True,WhiteInfect3True,EastAsian3,EastAsian4,WhiteInfect4,,,,,,,,,5,1,2,1,2,5,6 Extremely disgusting,Female,White,35,5,2
2018-12-03 17:30:42,2018-12-03 17:36:52,IP Address,100,369,True,2018-12-03 17:36:52,R_11XWVF0RVB1Lp7u,anonymous,EN,Yes,0,0,20.115,0,0,0,20.014,0,0,0,20.122,0,0,0,20.014,0,0,0,20.11,0,0,0,20.017,0,0,0,20.023,0,0,0,20.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog ",cat,wolf,tiger,bear,lion,horse,coyote,fox,hyena,antellope,deer,jackal,giraffe,elephant,,,,,,,,,White1True,EastAsian2,White3,White1,White3True,EastAsian2,EastAsian3True,EastAsian2,1,2,1,1,1,1,2,Male,White,36,3,1
2018-12-03 17:30:53,2018-12-03 17:36:53,IP Address,100,360,True,2018-12-03 17:36:54,R_1MMNGqbKPAbdwjx,anonymous,EN,Yes,0,0,20.107,0,0,0,20.11,0,0,0,20.007,0,0,0,20.006,0,0,0,20.008,0,0,0,20.006,0,0,0,20.107,0,0,0,20.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaguar,antalope,brown bear,giraffe,elephant,tiger,mouse,chicken,goat,cow,walrus,manatee,killer whaler,squid,red crab,,,,,,,,,White1True,White2,EastAsian1,EastAsian2True,White3True,EastAsian3,EastAsian1,EastAsian4True,4,2,1,3,2,1,3,Male,White,26,4,1
